"id","code","label","description","sacCode","defaultRatePercent","defaultReimbursement","applicability","sortOrder","isSystem","isActive","createdAt","updatedAt"
"cmsk9v0d500006x0kg1e0rmpo","freight-charges","Freight charges","The line haul itself","996812","18.00","false","ANY","10","true","true","2026-08-08 11:10:02.394","2026-08-08 11:10:02.394"
"cmsk9v0hz00016x0kl624cz8m","fuel-surcharge","Fuel surcharge","FSC, usually a percentage of freight","996812","18.00","false","ANY","20","true","true","2026-08-08 11:10:02.567","2026-08-08 11:10:02.567"
"cmsk9v0mb00026x0kkxrqlysl","other-charges","Other charges","Anything with no better line of its own","996812","18.00","false","ANY","30","true","true","2026-08-08 11:10:02.723","2026-08-08 11:10:02.723"
"cmsk9v0qn00036x0kg209n6ns","airfreight-charges","Airfreight charges",,"996812","18.00","false","AIR","100","true","true","2026-08-08 11:10:02.879","2026-08-08 11:10:02.879"
"cmsk9v0uy00046x0ka8qqal3v","airline-charges","Airline charges",,"996812","18.00","false","AIR","110","true","true","2026-08-08 11:10:03.034","2026-08-08 11:10:03.034"
"cmsk9v0za00056x0knmr0d7x8","airline-do-charges","Airline DO charges","Delivery order released by the airline at destination","996812","0.00","true","AIR","120","true","true","2026-08-08 11:10:03.19","2026-08-08 11:10:03.19"
"cmsk9v15j00066x0k3fkbhnz5","ahs-charges","AHS charges","Air handling surcharge","996812","18.00","false","AIR","130","true","true","2026-08-08 11:10:03.415","2026-08-08 11:10:03.415"
"cmsk9v19t00076x0kgmuwxrun","tsp-charges-origin","TSP charges at origin","Terminal service provider, origin","996812","18.00","false","AIR","140","true","true","2026-08-08 11:10:03.569","2026-08-08 11:10:03.569"
"cmsk9v1e100086x0k8t0wcdie","tsp-charges-destination","TSP charges at destination","Terminal service provider, destination","996812","18.00","false","AIR","150","true","true","2026-08-08 11:10:03.721","2026-08-08 11:10:03.721"
"cmsk9v1ib00096x0k750etjxd","demand-surcharge","Demand surcharge",,"996812","18.00","false","AIR","160","true","true","2026-08-08 11:10:03.875","2026-08-08 11:10:03.875"
"cmsk9v1mj000a6x0kz8zd5exs","airport-storage-charges","Airport storage charges",,"996812","18.00","false","AIR","170","true","true","2026-08-08 11:10:04.027","2026-08-08 11:10:04.027"
"cmsk9v1qt000b6x0k5d2lfjn8","cartage-warehouse-to-airport","Cartage, warehouse to airport",,"996812","18.00","false","AIR","180","true","true","2026-08-08 11:10:04.181","2026-08-08 11:10:04.181"
